9,08021964KlaHert,"Sa08.02.1964, 15:30",K'lautern,Hertha,Betzenberg,6000,Kaiserslautern,"Kreitlein, Rudolf",Stuttgart
0,26031964BrauSaar,"Do26.03.1964, 19:30",Braunschweig,Saarbrücken,Eintracht-Stadion,12000,Braunschweig,"Fischer, Heinz",Augsburg
1,30031964StutBrem,"Mo30.03.1964, 15:00",Stuttgart,Bremen,Neckarstadion,40000,Stuttgart,"Spinnler, Max",Mainz
2,01021964KarlBrau,"Sa01.02.1964, 15:30",Karlsruhe,Braunschweig,Wildparkstadion,20000,Karlsruhe,"Weyland, Hans-Joachim",Oberhausen
3,01021964BremKla,"Sa01.02.1964, 17:00",Bremen,K'lautern,Weser-Stadion,15000,Bremen,"Wieser, Alois",Köln
4,08021964MünsNürn,"Sa08.02.1964, 15:30",Münster,Nürnberg,Preußenstadion,12000,Münster,"Sturm, Erwin",Hannover
5,260319641860Stut,"Do26.03.1964, 20:15",1860 München,Stuttgart,Stadion an der Grünwalder Straße,35000,Münch,"Spiewak, Werner",Hamburg
6,27031964HertMeid,"Fr27.03.1964, 16:30",Hertha,Meidericher SV,Olympiastadion,35000,Berlin,"Lutz, Herbert",Bremen
7,30031964SaarDort,"Mo30.03.1964, 14:30",Saarbrücken,Dortmund,Ludwigsparkstadion,18000,Saarbrücken,"Tschenscher, Kurt",Mannheim
8,30031964FranHSV,"Mo30.03.1964, 18:00",Frankfurt,HSV,Waldstadion,40000,Frankfurt,"Mathieu, Horst",Saarbrücken
0,08021964StutScha,"Sa08.02.1964, 15:30",Stuttgart,Schalke,Neckarstadion,30000,Stuttgart,"Deuschel, Edgar",Ludwigshafen
1,08021964SaarHSV,"Sa08.02.1964, 15:30",Saarbrücken,HSV,Ludwigsparkstadion,18000,Saarbrücken,"Sparing, Günter",Kassel
2,08021964FranMeid,"Sa08.02.1964, 15:30",Frankfurt,Meidericher SV,Waldstadion,12500,Frankfurt,"Schulenburg, Gerhard",Laatzen
3,08021964KlaHert,"Sa08.02.1964, 15:30",K'lautern,Hertha,Betzenberg,6000,Kaiserslautern,"Kreitlein, Rudolf",Stuttgart
4,31081963BrauMüns,"Sa31.08.1963, 17:00",Braunschweig,Münster,Eintracht-Stadion,27000,Braunschweig,"Sparing, Günter",Kassel
5,31081963HSVSaar,"Sa31.08.1963, 17:00",HSV,Saarbrücken,Volksparkstadion,32000,Hamburg,"Baumgärtel, Günther",Hagen
6,31081963KölnKarl,"Sa31.08.1963, 17:00",Köln,Karlsruhe,Müngersdorfer Stadion,21000,Köl,"Treichel, Werner",Berlin
7,31081963MeidFran,"Sa31.08.1963, 17:00",Meidericher SV,Frankfurt,Wedaustadion,36000,Duisburg,"Spiewak, Werner",Hamburg
8,31081963KlaScha,"Sa31.08.1963, 17:00",K'lautern,Schalke,Betzenberg,33000,Kaiserslautern,"Riegg, Karl",Augsburg
9,31081963StutHert,"Sa31.08.1963, 17:00",Stuttgart,Hertha,Neckarstadion,40000,Stuttgart,"Schörnich, Fritz",Düsseldorf
0,31081963NürnBrem,"Sa31.08.1963, 17:00",Nürnberg,Bremen,Städtisches Stadion,34000,Nürnberg,"Mathieu, Horst",Saarbrücken
1,31081963Dort1860,"Sa31.08.1963, 17:00",Dortmund,1860 München,Rote Erde,25000,Dortmun,"Deuschel, Edgar",Ludwigshafen
2,15021964Kla1860,"Sa15.02.1964, 15:30",K'lautern,1860 München,Betzenberg,20000,Kaiserslautern,"Schörnich, Fritz",Düsseldorf
3,15021964StutMüns,"Sa15.02.1964, 15:30",Stuttgart,Münster,Neckarstadion,25000,Stuttgart,"Fritz, Helmut",Ludwigshafen
4,15021964NürnSaar,"Sa15.02.1964, 15:30",Nürnberg,Saarbrücken,Städtisches Stadion,18000,Nürnberg,"Niemeyer, Karl",Bad Godesberg
5,15021964DortKarl,"Sa15.02.1964, 15:30",Dortmund,Karlsruhe,Rote Erde,21000,Dortmun,"Sturm, Erwin",Hannover
6,15021964BrauFran,"Sa15.02.1964, 15:30",Braunschweig,Frankfurt,Eintracht-Stadion,18000,Braunschweig,"Treichel, Werner",Berlin
7,15021964HSVScha,"Sa15.02.1964, 15:30",HSV,Schalke,Volksparkstadion,45000,Hamburg,"Handwerker, Kurt",Ketsch
8,15021964KölnHert,"Sa15.02.1964, 15:30",Köln,Hertha,Müngersdorfer Stadion,18000,Köl,"Reil, Erich",Weiden
9,15021964MeidBrem,"Sa15.02.1964, 15:30",Meidericher SV,Bremen,Wedaustadion,22000,Duisburg,"Ott, Alfred",Rheinbrohl
0,22021964HertHSV,"Sa22.02.1964, 15:30",Hertha,HSV,Olympiastadion,30000,Berlin,"Fischer, Heinz",Augsburg
1,22021964BremKöln,"Sa22.02.1964, 15:30",Bremen,Köln,Weser-Stadion,33000,Bremen,"Kreitlein, Rudolf",Stuttgart
2,22021964MünsKla,"Sa22.02.1964, 15:30",Münster,K'lautern,Preußenstadion,25000,Münster,"Zimmermann, Walter",Wolfsburg
3,22021964SaarStut,"Sa22.02.1964, 15:30",Saarbrücken,Stuttgart,Ludwigsparkstadion,16000,Saarbrücken,"Thier, Willi",Gelsenkirchen
4,22021964KarlNürn,"Sa22.02.1964, 15:30",Karlsruhe,Nürnberg,Wildparkstadion,40000,Karlsruhe,"Leidag, Fritz",Dortmund
5,22021964FranDort,"Sa22.02.1964, 15:30",Frankfurt,Dortmund,Waldstadion,40000,Frankfurt,"Regely, Ewald",Berlin
6,310319641860Meid,"Di31.03.1964, 20:15",1860 München,Meidericher SV,Stadion an der Grünwalder Straße,44000,Münch,"Hager, Josef",Ludwigshafen
7,29021964Nürn1860,"Sa29.02.1964, 15:30",Nürnberg,1860 München,Städtisches Stadion,43000,Nürnberg,"Baumgärtel, Günther",Hagen
8,29021964DortMüns,"Sa29.02.1964, 15:30",Dortmund,Münster,Rote Erde,25000,Dortmun,"Sparing, Günter",Kassel
0,29021964KlaSaar,"Sa29.02.1964, 15:30",K'lautern,Saarbrücken,Betzenberg,20000,Kaiserslautern,"Riegg, Karl",Augsburg
1,29021964StutKarl,"Sa29.02.1964, 15:30",Stuttgart,Karlsruhe,Neckarstadion,22000,Stuttgart,"Betz, Alfons",Regensburg
2,29021964MeidScha,"Sa29.02.1964, 15:30",Meidericher SV,Schalke,Wedaustadion,40000,Duisburg,"Zimmermann, Walter",Wolfsburg
3,29021964KölnFran,"Sa29.02.1964, 15:30",Köln,Frankfurt,Müngersdorfer Stadion,40000,Köl,"Lutz, Herbert",Bremen
4,26031964HSVBrem,"Do26.03.1964, 19:30",HSV,Bremen,Volksparkstadion,25000,Hamburg,"Pooch, Gerhard",Lübeck
5,30031964BrauHert,"Mo30.03.1964, 19:30",Braunschweig,Hertha,Eintracht-Stadion,16000,Braunschweig,"Schmidt, Berthold",Hermesdorf
6,07031964HertDort,"Sa07.03.1964, 16:00",Hertha,Dortmund,Olympiastadion,20510,Berlin,"Jacobi, Rudibert",Heidelberg
